Nom image,Luminosité,Contraste,Netteté,% lignes verticales,% lignes horizontales,Nb lignes détectées,Prédiction heuristique,Erreur
grp7img12.jpg,128.0,54.25,214.07,17.56,13.5,89547,11,11
grp7img3.jpeg,129.85,47.96,132.28,15.06,20.8,27126,6,9
grp7img4.jpeg,158.55,56.65,507.52,13.12,19.71,60395,7,-5
grp7img1.jpeg,121.62,52.04,641.9,17.98,14.94,74644,5,10
grp7img10.jpg,110.5,62.48,291.96,17.0,13.68,91097,14,-4
Groupe1_Image6.jpg,124.04,51.24,98.14,13.14,19.96,51436,10,-4
Groupe1_Image4.jpg,109.81,51.62,242.36,12.89,16.61,82005,15,-3
Groupe1_Image3.jpg,98.69,56.17,300.37,20.28,32.68,5024,6,7
Groupe1_Image5.jpg,103.2,47.84,289.07,14.89,17.25,76996,13,-1
Groupe1_Image1.jpg,92.11,60.34,89.79,72.77,26.82,716,9,2
Groupe1_Image7.jpg,80.19,50.01,17.15,100.0,0.0,143,9,-3
Groupe1_Image2.jpg,121.27,47.24,256.92,18.32,13.73,16915,5,3
Groupe1_Image10.jpg,87.08,73.75,712.62,16.94,22.07,13478,5,10
Groupe1_Image8.jpg,118.65,29.76,18.24,89.57,10.43,211,4,13
Groupe1_Image9.jpg,134.92,41.89,7.49,75.93,9.26,54,9,0
Groupe2_Image10.jpg,109.91,49.94,93.9,12.1,21.96,7620,2,8
Groupe2_Image8.jpg,87.67,56.04,153.91,15.66,18.86,35281,13,-4
Groupe2_Image3.jpeg,150.81,73.64,120.86,9.24,7.75,671,1,8
Groupe2_Image9.jpg,100.14,54.63,77.88,21.25,15.17,13418,2,7
Groupe2_Image7.jpeg,99.91,40.67,192.99,14.7,19.98,9389,3,7
Groupe2_Image11.jpg,99.58,55.11,506.93,15.51,15.02,77601,4,5
Groupe2_Image1.jpeg,165.02,33.83,572.1,15.42,19.65,20146,0,4
Groupe2_Image5.jpeg,140.64,66.31,92.07,50.0,47.22,36,2,6
Groupe2_Image4.png,93.68,60.69,41.57,53.62,31.16,1367,10,-4
Groupe2_Image12.png,118.78,59.26,447.35,16.87,13.21,62433,8,-1
Groupe2_Image13.png,87.11,55.44,199.28,13.97,19.22,63114,10,6
Groupe2_Image2.jpeg,127.22,39.67,296.44,16.19,24.54,12471,3,4
Groupe2_Image6.jpeg,139.15,36.73,230.6,41.67,16.67,12,1,9
img2.jpg,145.82,58.42,164.29,28.57,24.21,252,5,5
img7.png,112.01,64.84,151.7,10.05,56.79,1164,2,9
img8.png,114.23,68.49,683.23,12.88,23.84,13968,4,6
img6.jpg,88.86,57.43,122.6,17.09,15.95,53210,9,2
img1.png,87.8,61.02,807.11,16.5,18.08,19074,0,8
img5.jpg,94.22,70.59,136.84,21.54,11.92,55549,4,1
img4.jpg,125.57,45.51,261.55,19.06,10.3,93500,1,36
img9.png,104.72,65.88,418.12,12.51,20.62,19229,5,7
img3.png,86.94,42.72,273.92,15.79,18.78,33886,7,15
